Tickers,Return,Risk
AAPL,0.0012061853905132036,0.019943943688992837
AMGN,0.0004877584986222594,0.01608377352457839
AMZN,0.0005265044792877038,0.022302707080979558
AXP,0.0006680506154064236,0.02379783483530885
BA,-0.0005858626968998637,0.03212064517906393
CAT,0.0009531137443805626,0.020349550672921077
CRM,0.00039918161641416816,0.024837265946482397
CSCO,0.00018255344902340376,0.017469011637037134
CVX,0.0003556241009263772,0.022549423000949118
DIS,-0.00032639906818665576,0.021353463910500234
DOW,0.00038155953846774615,0.023026312016615837
GS,0.0008230036093102022,0.020402298786329584
HD,0.0004808416864761078,0.018334074231124597
HON,0.00026657104070682003,0.016977160226976706
IBM,0.0005292287707467924,0.01671499727475665
INTC,-0.0005771400861062093,0.026960921025822683
JNJ,0.00030557597057323527,0.012517705558708531
JPM,0.0006770831030034064,0.020065713132760822
KO,0.0003378682934527255,0.013122517081822589
MCD,0.0003090908403433623,0.014789481486460936
MMM,0.00014974196320127753,0.018460031813774744
MRK,0.00040190518880600656,0.01480470102704014
MSFT,0.0009100290669363797,0.01908005155521282
NKE,2.8477004224258806e-05,0.021850547760899747
PG,0.00037436997643114367,0.013200721307087986
TRV,0.00043449806539519464,0.0186001808351006
UNH,0.0007975514026887787,0.01854243654891672
V,0.00035956186216834496,0.017477098932883725
VZ,-5.796909801436545e-05,0.013130566344970236
WMT,0.0006156428160759564,0.014032844908293644
